provider      model                context  max-out  thinking  images
nan           deepseek-v4-flash    1M       16.4K    yes       yes   
nan           gemma4               262.1K   16.4K    yes       yes   
nan           glm5.3               1M       16.4K    yes       no    
nan           glm5.3-flash         1M       16.4K    yes       yes   
nan           mimo-v2.5            1M       16.4K    yes       yes   
nan           qwen3.6              262.1K   16.4K    yes       yes   
nan           qwen3.8-flash        262.1K   16.4K    yes       yes   
openai-codex  gpt-5.3-codex-spark  128K     128K     yes       no    
openai-codex  gpt-5.4              272K     128K     yes       yes   
openai-codex  gpt-5.4-mini         272K     128K     yes       yes   
openai-codex  gpt-5.5              272K     128K     yes       yes   
openai-codex  gpt-5.6-luna         272K     128K     yes       yes   
openai-codex  gpt-5.6-sol          272K     128K     yes       yes   
openai-codex  gpt-5.6-terra        272K     128K     yes       yes   
openai-codex  gpt-6-astra          272K     128K     yes       yes   
